AnnualRefresh,Area,BaseSalary,CompanyAltName,CompanyName,Degree,Equity,EquitySchedule,Experience,ExperienceLevel,GreenCard,Group,InterestPoint,JobFunction,JobType,Level,OtherOffer,PositionType,PostTime,PostTitle,PostUser,PromotionPkg,RelocationFee,Satisfaction,Season,SignBonus,Source,SpiderTime,Title,URL,Year,YearlyBonus
-,BayArea,,-,Facebook,硕士,,25%,3-5年,在职跳槽,-,-,-,码农类General,全职,4,Google Uber Apple,IC (Individual Contributor 技术岗，不管人),2018-10-8 11:03:54,FB E4标准包 真的不能加了？,toufucc,-,-,-,7-9月,,猎头,2018-10-09 23:22:57.734684,,http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=448045&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320,2018,
-,BayArea,,Pinterest,Facebook,本科,,N/A,fresh grad 无实习/全职,fresh grad应届毕业生,-,-,-,码农类General,全职,-,-,IC (Individual Contributor 技术岗，不管人),2018-10-10 09:35:11,new grad offer求比较,香港记者张宝华,-,-,-,7-9月,,Other,2018-10-09 23:22:57.758608,,http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=448569&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320,2018,
-,BayArea,,"VMware, Cisco, Appfolio",Google,硕士,,25/25/25/25,<3个月短暂实习/全职,fresh grad应届毕业生,-,大概是product,career path,码农类General,全职,-,-,IC (Individual Contributor 技术岗，不管人),2018-10-10 13:30:37,拿了G和V，求compete建议,ZACAL,-,-,-,7-9月,,Other,2018-10-09 23:22:57.919489,,http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=448633&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320,2018,
-,Greater Seattle Area,,-,Microsoft,硕士,,25 25 25 25,1-3年,在职跳槽,-,azure,大公司，稳定,码农类General,全职,60,uber,IC (Individual Contributor 技术岗，不管人),2018-10-10 03:49:36,巨硬还可以的包,潜泳冠军,-,-,-,7-9月,,猎头,2018-10-09 23:22:58.146947,,http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=448464&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320,2018,
-,BayArea,,Petuum,-,本科,,-,3个月-1年,fresh grad应届毕业生,H1B绿卡都办,SDE System and Platform,-,码农类General,全职,-,接fb标准包了,IC (Individual Contributor 技术岗，不管人),,Petuum湾区office SDE System and Platform,miayolanda,-,-,去fb了,4-6月,,网上海投,2018-10-09 23:22:58.181855,,http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=433902&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320,2018,
-,Greater Seattle Area,,-,Amazon,博士,,5/15/40/40,3-5年,在职跳槽,-,AWS AI,-,MachineLearningEng,全职,-,-,IC (Individual Contributor 技术岗，不管人),2018-10-8 12:30:36,AWS,zhf526,-,-,考虑中,7-9月,,猎头,2018-10-09 23:22:58.323606,,http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=445868&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320,2018,
-,BayArea,,whatsapp,-,硕士,,25/25/25/25,1-3年,在职跳槽,-,-,-,码农类General,全职,-,-,IC (Individual Contributor 技术岗，不管人),2018-10-9 09:18:59,whatsapp sde2包,bumbing,-,-,不去,7-9月,,猎头,2018-10-09 23:22:58.400400,,http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=448268&extra=page%3D2,2018,
-,BayArea,,-,Google,硕士,,4,3-5年,在职跳槽,-,c++ server side,学习机会,码农类General,全职,4,Apple Pure Storage etc,IC (Individual Contributor 技术岗，不管人),2018-10-9 15:05:56,狗狗T4mtv 包裹,attaboyheart,-,-,应该去了,7-9月,,内推,2018-10-09 23:22:58.528065,,http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=442448&extra=page%3D2,2018,
-,BayArea,,-,Twitter,硕士,,25 25 25 25,<3个月短暂实习/全职,fresh grad应届毕业生,-,-,-,码农类General,全职,-,-,IC (Individual Contributor 技术岗，不管人),2018-10-9 14:51:21,Twitter SDE I (Return/New Grad),倒序浏览,-,5000,打算去,7-9月,,实习ReturnOffer,2018-10-09 23:22:58.547017,,http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=445873&extra=page%3D2,2018,
-,BayArea,,Waymo,-,硕士,,first year+monthly,<3个月短暂实习/全职,fresh grad应届毕业生,-,perception,大厂+good teammates,MachineLearningEng,全职,2,有另外几家无人车satrtup，cash stock都比这个高,IC (Individual Contributor 技术岗，不管人),2018-10-9 07:46:32,Waymo new grad包,tys17,-,20k-40k,salary不太满意。。,7-9月,,内推,2018-10-09 23:22:58.800462,,http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=448249&extra=page%3D2,2018,
-,BayArea,,-,Facebook,硕士,,4 years,<3个月短暂实习/全职,fresh grad应届毕业生,-,-,-,码农类General,全职,-,-,IC (Individual Contributor 技术岗，不管人),2018-10-9 02:07:44,脸家low ball和其他公司MLE,恶魔的奶爸,-,-,-,7-9月,,内推,2018-10-09 23:22:58.858320,,http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=448155&extra=page%3D2,2018,
