"AnnualRefresh","Area","CompanyAltName","CompanyName","Degree","EquitySchedule","Experience","ExperienceLevel","GreenCard","JobFunction","JobType","Level","OtherOffer","PositionType","PostTime","PostTitle","PostUser","PromotionPkg","RelocationFee","Satisfaction","Season","Source","SpiderTime","URL","Year","_type"
"-","Greater Seattle Area","-","Microsoft","本科","25% 25% 25% 25%","<3个月短暂实习/全职","fresh grad应届毕业生","母鸡 还未详细了解 应该会支持抽三年H1B 而且巨硬还有温哥华office","码农类General","全职","59","Google SEA/KIR return offer","IC (Individual Contributor 技术岗，不管人)","2018-10-5 14:52:53","微软 Azure VS Google Ads New Grad 西雅图地区 求建议","jeffztn0816","-","5500","正在仔细考虑 取决于G方面的反馈结果以及跟M继续谈的结果","7-9月","校园招聘会","1.538872248456E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=447522&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2019","TrailItem"
"-","BayArea","-","Microsoft","本科","3.5yr","fresh grad 无实习/全职","fresh grad应届毕业生","-","码农类General","全职","59","-","IC (Individual Contributor 技术岗，不管人)","null","Microsoft Sunnyvale return offer","audrey_horne","-","-","-","7-9月","实习ReturnOffer","1.538872248898E12","http://www.1point3acres.com/bbs/thread-444674-1-1.html","2018","TrailItem"
"-","-","-","-","-","-","-","-","-","-","-","","-","-","null","GS 2015 return offer","sophia25000","-","-","-","-","-","1.538872249682E12","http://www.1point3acres.com/bbs/thread-444681-1-1.html","-","TrailItem"
"-","Greater Seattle Area","BlackRock","-","硕士","N/A","<3个月短暂实习/全职","fresh grad应届毕业生","2年後開始辦","码农类General","全职","-","-","IC (Individual Contributor 技术岗，不管人)","null","BlackRock Return Offer from Internship","tsaitao","-","-","不去","7-9月","实习ReturnOffer","1.538872250933E12","http://www.1point3acres.com/bbs/thread-444782-1-1.html","2018","TrailItem"
"according to personal performance","BayArea","Start Up","-","硕士","1/4 1/4 1/4 1/4","<3个月短暂实习/全职","fresh grad应届毕业生","1 yr","MachineLearningEng","全职","-","-","IC (Individual Contributor 技术岗，不管人)","null","湾曲 Start Up 包","倒序浏览","according to personal performance","7000","seems okay ... to be or not to be ...","7-9月","实习ReturnOffer","1.538872251706E12","http://www.1point3acres.com/bbs/thread-439232-1-1.html","2018","TrailItem"
"-","BayArea","-","Facebook","硕士","1/4 1/4 1/4 1/4","<3个月短暂实习/全职","fresh grad应届毕业生","-","码农类General","全职","3","-","IC (Individual Contributor 技术岗，不管人)","null","FB return offer","wsypeter","-","-","去","7-9月","实习ReturnOffer","1.538872253869E12","http://www.1point3acres.com/bbs/thread-438806-1-1.html","2018","TrailItem"
"-","BayArea","-","Airbnb","硕士","25/25/25/25","1-3年","在职跳槽","-","MobileEng","全职","-","-","IC (Individual Contributor 技术岗，不管人)","null","租房iOS E4","tryqtyl","-","-","maybe","7-9月","猎头","1.53887225403E12","http://www.1point3acres.com/bbs/thread-439214-1-1.html","2018","TrailItem"
"-","Greater Seattle Area","-","Snapchat","硕士","25 25 25 25","3-5年","在职跳槽","-","码农类General","全职","2","-","IC (Individual Contributor 技术岗，不管人)","null","snapchat 转专业 offer","Iguodala99","-","10000","No","7-9月","网上海投","1.538872254247E12","http://www.1point3acres.com/bbs/thread-434845-1-1.html","2018","TrailItem"
"-","国内其他地区","华为","-","硕士","？？","fresh grad 无实习/全职","fresh grad应届毕业生","-","码农类General","全职","","-","-","null","华为国内白菜包","大脸猫22233","-","俺不知道","不去，留着乐呵乐呵。。","10-12月","校园招聘会","1.538872254387E12","http://www.1point3acres.com/bbs/thread-225879-1-1.html","2016","TrailItem"
"-","Chicago","Nothern Trust","-","硕士","N/A","1-3年","在职跳槽","入职办理","FrontEndEng","全职","-","N/A","VP","null","Northern Trust 包裹","shinglex","-","N/A","-","7-9月","猎头","1.538872254661E12","http://www.1point3acres.com/bbs/thread-444855-1-1.html","2018","TrailItem"
