Data,DataType,PostID
Tech Lead,Title,295921
20%,YearlyBonus,287593
11k,SignBonus,287593
40k,Equity,287593
165k,BaseSalary,287593
software engineer 4,Title,287593
没有固定的bonus,YearlyBonus,287745
10000,SignBonus,287745
100000,Equity,287745
130000,BaseSalary,287745
software engineer,Title,287745
10000,YearlyBonus,295813
0,SignBonus,295813
0,Equity,295813
105000,BaseSalary,295813
SDE II,Title,295813
0,YearlyBonus,290923
25k,SignBonus,290923
2100,Equity,290923
125k,BaseSalary,290923
entry level,Title,290923
5000,YearlyBonus,224811
0,SignBonus,224811
0,Equity,224811
90k,BaseSalary,224811
entry-level SDE,Title,224811
40k,YearlyBonus,287062
0,SignBonus,287062
7000,Equity,287062
140k,BaseSalary,287062
DA2,Title,287062
20%,YearlyBonus,294792
75k,SignBonus,294792
150k,Equity,294792
108k,BaseSalary,294792
entry,Title,294792
16%,YearlyBonus,295777
25000,SignBonus,295777
no,Equity,295777
90000,BaseSalary,295777
senior data analyst,Title,295777
10%,YearlyBonus,289005
"small or none, forgot",SignBonus,289005
$150k,Equity,289005
140k,BaseSalary,289005
普通,Title,289005
0,YearlyBonus,295421
18500,SignBonus,295421
72,Equity,295421
108000,BaseSalary,295421
4,Title,295421
12.5%,YearlyBonus,295206
0,SignBonus,295206
0,Equity,295206
105000,BaseSalary,295206
Mid-Level,Title,295206
based on perf,YearlyBonus,295369
"69K 1st yr, 52K 2nd yr",SignBonus,295369
152K 4yrs,Equity,295369
155K,BaseSalary,295369
SDE,Title,295369
15000,YearlyBonus,295338
10000,SignBonus,295338
55000,Equity,295338
128000,BaseSalary,295338
SDE,Title,295338
0,YearlyBonus,287149
120000,SignBonus,287149
140,Equity,287149
170000,BaseSalary,287149
research scientist,Title,287149
15%,YearlyBonus,296484
30k,SignBonus,296484
None,Equity,296484
130k,BaseSalary,296484
SDE,Title,296484
N/A,YearlyBonus,296527
N/A,SignBonus,296527
60000,Equity,296527
140000,BaseSalary,296527
Backend Engineer,Title,296527
10%,YearlyBonus,278565
100000,SignBonus,278565
300000,Equity,278565
160000,BaseSalary,278565
e4,Title,278565
20k,YearlyBonus,281802
12k,SignBonus,281802
na,Equity,281802
160k,BaseSalary,281802
senior developer,Title,281802
15%,YearlyBonus,294498
100k,SignBonus,294498
420k,Equity,294498
140k,BaseSalary,294498
T3,Title,294498
10%,YearlyBonus,189545
20K,SignBonus,189545
$25000/4年,Equity,189545
"110,000",BaseSalary,189545
SDEII,Title,189545
0 - 20%,YearlyBonus,296358
15K,SignBonus,296358
120K,Equity,296358
108K,BaseSalary,296358
SDE,Title,296358
约一个月工资,YearlyBonus,223766
0,SignBonus,223766
四千多股,Equity,223766
比谷歌/亚麻的应届生要高一万左右。,BaseSalary,223766
Software Engineer 2,Title,223766
15%,YearlyBonus,216730
no,SignBonus,216730
100k RSU,Equity,216730
145k,BaseSalary,216730
Research Scientist,Title,216730
50k,SignBonus,288901
10%,YearlyBonus,288901
300k,Equity,288901
155k,BaseSalary,288901
Software Engineer,Title,288901
???,YearlyBonus,296243
36k + 31k,SignBonus,296243
112k,BaseSalary,296243
SDE1,Title,296243
didn't mention,YearlyBonus,289387
65000,Equity,296243
25k,SignBonus,289387
130k,Equity,289387
116k,BaseSalary,289387
Data Scientist,Title,289387
0,YearlyBonus,283172
25k+20k,SignBonus,283172
55,Equity,283172
100k,BaseSalary,283172
see,Title,283172
15%,YearlyBonus,294041
15000,SignBonus,294041
250000,Equity,294041
140000,BaseSalary,294041
Software Engineer,Title,294041
0,YearlyBonus,293533
18500+18500,SignBonus,293533
65000,Equity,293533
103000,BaseSalary,293533
SDE,Title,293533
10%,YearlyBonus,281490
10k,SignBonus,281490
40k,Equity,281490
140k,BaseSalary,281490
Associate,Title,281490
-,YearlyBonus,283023
41k+33k,SignBonus,283023
130,Equity,283023
145k,BaseSalary,283023
SDE II,Title,283023
7800,YearlyBonus,166316
0,SignBonus,166316
0,Equity,166316
112000,BaseSalary,166316
Software Engineer,Title,166316
10%,YearlyBonus,299650
10000,SignBonus,299650
0,Equity,299650
10.5,BaseSalary,299650
Data Scientist,Title,299650
,YearlyBonus,297922
,SignBonus,297922
,Equity,297922
,BaseSalary,297922
,Title,297922
13% - 15%,YearlyBonus,298547
5000,SignBonus,298547
3000 units,Equity,298547
85000,BaseSalary,298547
Business Intelligence Developer,Title,298547
10%,YearlyBonus,281370
25k,SignBonus,281370
140k,Equity,281370
130k,BaseSalary,281370
entry,Title,281370
14k target,YearlyBonus,225444
0,SignBonus,225444
0,Equity,225444
131000,BaseSalary,225444
Senior Software Engineer,Title,225444
10%,YearlyBonus,298556
25000,SignBonus,298556
20000,Equity,298556
12500,BaseSalary,298556
E3,Title,298556
没提,YearlyBonus,295779
没提,SignBonus,295779
